x,y,id,s
0.32,-0.21,"cancer_38.txt",4.0
-0.45,0.43,"cancer_39.txt",4.0
-0.12,0.08,"cancer_40.txt",4.0
-0.09,0.01,"cancer_41.txt",4.0
0.22,0.06,"cancer_42.txt",4.0
0.31,-0.18,"cancer_43.txt",4.0
0.08,-0.31,"cancer_44.txt",4.0
0.21,0.48,"cancer_45.txt",4.0
-0.57,-0.14,"cancer_46.txt",4.0
-0.37,-0.10,"cancer_47.txt",4.0
0.31,-0.34,"cancer_48.txt",4.0
0.22,0.34,"cancer_49.txt",4.0
0.39,0.39,"cancer_50.txt",4.0
0.52,-0.09,"cancer_51.txt",4.0
0.30,-0.21,"cancer_52.txt",4.0
-0.26,-0.13,"cancer_53.txt",4.0
0.16,0.25,"cancer_54.txt",4.0
-0.23,0.02,"cancer_55.txt",4.0
0.59,0.43,"cancer_56.txt",4.0
-0.40,0.28,"cancer_57.txt",4.0
-0.12,0.15,"cancer_58.txt",4.0
0.13,-0.23,"cancer_59.txt",4.0
-0.23,0.35,"cancer_60.txt",4.0
-0.11,0.07,"cancer_61.txt",4.0
0.03,0.03,"cancer_62.txt",4.0
0.01,0.03,"cancer_63.txt",4.0
-0.01,0.31,"cancer_64.txt",4.0
-0.00,-0.09,"cancer_65.txt",4.0
0.27,0.11,"cancer_66.txt",4.0
-0.13,0.24,"cancer_67.txt",4.0
0.26,-0.29,"cancer_68.txt",4.0
-0.16,0.01,"cancer_69.txt",4.0
0.17,-0.04,"cancer_70.txt",4.0
0.15,-0.02,"cancer_71.txt",4.0
0.11,-0.24,"cancer_72.txt",4.0
-0.06,-0.07,"cancer_73.txt",4.0
-0.33,0.10,"cancer_74.txt",4.0
-0.15,-0.10,"cancer_75.txt",4.0
-0.16,-0.25,"cancer_76.txt",4.0
-0.58,-0.18,"cancer_77.txt",4.0
-0.56,-0.04,"cancer_78.txt",4.0
0.97,-0.20,"case_1.txt",9.9
0.28,-0.29,"case_2.txt",7.27
1.04,-0.08,"case_3.txt",74.43
-0.55,-0.13,"cauterize_1.txt",90.93
0.60,-0.26,"cc_1.txt",4.0
-0.53,-0.23,"cc_2.txt",4.0
0.24,0.57,"cc_3.txt",4.0
-0.58,-0.13,"cc_4.txt",4.0
0.26,0.16,"cc_5.txt",4.0
-0.24,-0.13,"cc_6.txt",4.0
0.05,0.38,"cc_7.txt",4.0
0.50,-0.04,"cc_8.txt",4.0
-0.16,-0.30,"cc_9.txt",4.0
-0.36,-0.29,"cc_10.txt",4.0
0.11,-0.05,"cc_11.txt",4.0
0.06,-0.12,"cc_12.txt",4.0
-0.25,0.06,"cc_13.txt",4.0
0.58,-0.24,"cc_14.txt",4.0
0.52,-0.08,"cc_15.txt",4.0
-0.11,-0.28,"cc_16.txt",4.0
0.26,0.27,"cc_17.txt",4.0
0.24,0.18,"cc_18.txt",4.0
0.61,-0.18,"cc_19.txt",4.0
0.52,-0.17,"cc_20.txt",4.0
0.29,-0.38,"cc_21.txt",4.0
0.52,-0.26,"cc_22.txt",4.0
0.33,-0.08,"cc_23.txt",4.0
0.04,-0.15,"cc_24.txt",4.0
0.26,0.32,"cc_25.txt",4.0
-0.54,-0.02,"cc_26.txt",4.0
0.36,-0.20,"cc_27.txt",4.0
0.23,-0.09,"cc_28.txt",4.0
-0.50,-0.12,"cc_29.txt",4.0
0.05,0.00,"cc_30.txt",4.0
-0.55,-0.10,"cc_31.txt",4.0
-0.49,-0.22,"cc_32.txt",4.0
0.47,-0.40,"cc_33.txt",4.0
0.29,-0.23,"cc_34.txt",4.0
0.29,0.52,"cc_35.txt",4.0
0.12,0.37,"cc_36.txt",4.0
0.66,-0.22,"cc_37.txt",4.0
-0.59,-0.18,"cc_38.txt",4.0
-0.19,-0.10,"cc_39.txt",4.0
-0.10,-0.17,"cc_40.txt",4.0
-0.55,-0.11,"cc_41.txt",4.0
0.57,-0.29,"cc_42.txt",4.0
0.22,0.39,"cc_43.txt",4.0
0.75,-0.31,"char_1.txt",5.18
-0.25,0.01,"chat_1.txt",16.95
-0.18,0.15,"cyberconf_1.txt",6.89
-0.10,0.10,"cyberconf_2.txt",4.0
-0.06,0.56,"d_1.txt",4.0
0.60,0.28,"d_2.txt",4.0
0.29,0.46,"d_3.txt",4.0
0.35,-0.19,"d_4.txt",4.0
-0.60,-0.19,"d_5.txt",4.0
0.19,0.20,"d_6.txt",4.0
-0.04,-0.29,"d_7.txt",4.0
0.52,-0.09,"d_8.txt",4.0
0.35,-0.30,"d_9.txt",4.0
0.48,0.05,"d_10.txt",4.0
0.61,-0.18,"d_11.txt",4.0
0.12,-0.04,"d_12.txt",4.0
0.75,-0.19,"d_13.txt",4.0
0.73,-0.09,"d_14.txt",4.0
-0.56,-0.19,"d_15.txt",4.0
0.38,0.40,"d_16.txt",4.0
0.62,-0.01,"d_17.txt",4.0
0.57,0.21,"d_18.txt",4.0
-0.51,-0.15,"d_19.txt",4.0
-0.29,-0.11,"d_20.txt",4.0
0.86,-0.07,"d_21.txt",4.0
0.71,-0.22,"d_22.txt",4.0
-0.09,0.81,"d_23.txt",4.0
0.19,0.70,"d_24.txt",4.0
-0.07,0.49,"d_25.txt",4.0
0.27,-0.20,"d_26.txt",4.0
0.06,0.15,"d_27.txt",4.0
-0.06,0.48,"d_28.txt",4.0
0.30,-0.14,"d_29.txt",4.0
0.75,-0.31,"d_30.txt",4.0
